,lat,lng,address
57386,40.72633085971696,-73.98616880178452,1002
59847,40.70870368,-73.9448625,11206
61548,40.76473420006519,-73.99194359779358,10019
68921,40.75500254,-73.98014437,10036
71208,40.699569,-73.979827,11251
71222,40.69811,-73.90904,11237
71223,40.805159,-73.954692,10026
71447,40.709267,-74.013247,10006
71665,40.74025878,-73.98409214,10037
71668,40.726378,-74.000472,10012
71842,40.71474,-74.009106,10007
71912,40.73020660529954,-73.99102628231049,10003
72001,40.70862144,-74.00722156,10038
72028,40.751396,-74.005226,10001
72138,40.72743423,-73.99379025,10012
72676,40.846052,-73.937648,10033
72793,40.74803319428767,-73.973827958107,10016
72852,40.751551,-73.993934,10001
73067,40.72185379,-74.00771779,10013
73617,40.7390169121,-74.0026376103,10014
73928,40.75066386,-74.00176802,10001
74009,40.794566,-73.936254,10029
74748,40.71222,-74.010472,10007
74756,40.72170005235607,-74.00238141417502,10013
77309,40.84210236102173,-73.9422395825386,10032
77446,40.72917025,-73.99810231,10012-3332
77462,40.69327018,-73.97703874,11237
78172,40.75640548,-73.9900262,10036
78202,40.72456089,-73.99565293,10012-3332
79607,40.714193,-73.996732,10002
80664,40.7529728216068,-73.98734897375107,10018
85155,40.71221958009051,-74.01047229766846,10007
86483,40.745686,-74.005141,10011
88554,40.70834698,-74.01713445,10280
88556,40.70717936,-74.00887308,10045
89771,40.7435337324616,-74.00367558002472,10011
91547,40.71334184275907,-74.00935515761375,10279
93789,40.717488,-74.010455,10007
98823,40.7047177,-74.00926027,10038
103905,40.771497,-73.99046,100
106907,40.74275179648995,-73.9847157150507,10001-7604
106936,40.8082,-73.9641,10027
107125,40.74691959,-74.00451887,10011
107836,40.73342399437081,-74.00851495563984,10014
115100,40.777507027547976,-73.98888587951659,10069
121698,40.72769,-73.990993,10003
131443,40.7770575,-73.97898475,10023
134438,40.768254,-73.988639,10019
138157,40.70355377,-74.00670227,10041
149065,40.721319,-74.010065,10013
161237,40.76590936,-73.97634151,10106
162642,40.70706456,-74.00731853,10038
165243,40.75492,-73.98455,10019
173596,40.872412,-73.912807,10034
181807,40.75097711,-73.98765428,10019
186984,40.71602118,-73.99974372,10013
187069,40.77237,-73.99005,100
187428,40.749156,-73.9916,10001
188392,40.70122128,-74.01234218,10004
